Query Video Name,Original Video Name,Query Video Length (seconds),Mean,Sigma,Predicted Answer,Expected Answer,Difference,Low Pass Filter,k for best match,Is Correct
video10_10_0_0_8970.mp4,video10,10,0,0,8970,8972,2,0,5,True
video10_10_0_1_15240.mp4,video10,10,0,1,15240,15240,0,0,5,True
video10_10_0_2_18060.mp4,video10,10,0,2,18060,18062,2,0,5,True
video10_10_0_3_17580.mp4,video10,10,0,3,17580,17582,2,0,5,True
video10_10_0_4_3600.mp4,video10,10,0,4,3600,3602,2,0,5,True
video10_10_0_5_12270.mp4,video10,10,0,5,12270,12271,1,0,5,True
video10_11_0_0_9960.mp4,video10,11,0,0,9960,9961,1,0,5,True
video10_11_0_1_8850.mp4,video10,11,0,1,8850,8853,3,0,5,True
video10_11_0_2_690.mp4,video10,11,0,2,690,691,1,0,5,True
video10_11_0_3_4590.mp4,video10,11,0,3,4590,4592,2,0,5,True
video10_11_0_4_10530.mp4,video10,11,0,4,10530,10531,1,0,5,True
video10_11_0_5_12750.mp4,video10,11,0,5,12750,12752,2,0,5,True
video10_12_0_0_4230.mp4,video10,12,0,0,4230,4231,1,0,5,True
video10_12_0_1_780.mp4,video10,12,0,1,780,782,2,0,5,True
video10_12_0_2_19320.mp4,video10,12,0,2,19320,19322,2,0,5,True
video10_12_0_3_6420.mp4,video10,12,0,3,6420,6422,2,0,5,True
video10_12_0_4_10110.mp4,video10,12,0,4,10110,10111,1,0,5,True
video10_12_0_5_17490.mp4,video10,12,0,5,17490,17491,1,0,5,True
video10_13_0_0_5700.mp4,video10,13,0,0,5700,5702,2,0,5,True
video10_13_0_1_18540.mp4,video10,13,0,1,18540,18544,4,0,5,False
video10_13_0_2_8940.mp4,video10,13,0,2,8940,8942,2,0,5,True
video10_13_0_3_13710.mp4,video10,13,0,3,13710,13711,1,0,5,True
video10_13_0_4_10560.mp4,video10,13,0,4,10560,10560,0,0,5,True
video10_13_0_5_11730.mp4,video10,13,0,5,11730,11732,2,0,5,True
video10_14_0_0_19080.mp4,video10,14,0,0,19080,19082,2,0,5,True
video10_14_0_1_13470.mp4,video10,14,0,1,13470,13472,2,0,5,True
video10_14_0_2_17040.mp4,video10,14,0,2,17040,17044,4,0,5,False
video10_14_0_3_16890.mp4,video10,14,0,3,16890,16891,1,0,5,True
video10_14_0_4_7590.mp4,video10,14,0,4,7590,7592,2,0,5,True
video10_14_0_5_10080.mp4,video10,14,0,5,10080,10081,1,0,5,True
video10_15_0_0_18450.mp4,video10,15,0,0,18450,18454,4,0,5,False
video10_15_0_1_13350.mp4,video10,15,0,1,13350,13351,1,0,5,True
video10_15_0_2_10920.mp4,video10,15,0,2,10920,10922,2,0,5,True
video10_15_0_3_7050.mp4,video10,15,0,3,7050,7052,2,0,5,True
video10_15_0_4_20070.mp4,video10,15,0,4,20070,20071,1,0,5,True
video10_15_0_5_9060.mp4,video10,15,0,5,9060,9062,2,0,5,True
video10_16_0_0_21660.mp4,video10,16,0,0,21660,21662,2,0,5,True
video10_16_0_1_2460.mp4,video10,16,0,1,2460,2461,1,0,5,True
video10_16_0_2_16620.mp4,video10,16,0,2,16620,16620,0,0,5,True
video10_16_0_3_15030.mp4,video10,16,0,3,15030,15032,2,0,5,True
video10_16_0_4_16140.mp4,video10,16,0,4,16140,16142,2,0,5,True
video10_16_0_5_10590.mp4,video10,16,0,5,10590,10584,6,0,5,False
video10_17_0_0_8490.mp4,video10,17,0,0,8490,8492,2,0,5,True
video10_17_0_1_14940.mp4,video10,17,0,1,14940,14940,0,0,5,True
video10_17_0_2_22620.mp4,video10,17,0,2,22620,22622,2,0,5,True
video10_17_0_3_330.mp4,video10,17,0,3,330,328,2,0,5,True
video10_17_0_4_11370.mp4,video10,17,0,4,11370,11371,1,0,5,True
video10_17_0_5_22320.mp4,video10,17,0,5,22320,22321,1,0,5,True
video10_18_0_0_19140.mp4,video10,18,0,0,19140,19141,1,0,5,True
video10_18_0_1_21690.mp4,video10,18,0,1,21690,21692,2,0,5,True
video10_18_0_2_6390.mp4,video10,18,0,2,6390,6392,2,0,5,True
video10_18_0_3_15990.mp4,video10,18,0,3,15990,15991,1,0,5,True
video10_18_0_4_720.mp4,video10,18,0,4,720,722,2,0,5,True
video10_18_0_5_5370.mp4,video10,18,0,5,5370,5372,2,0,5,True
video10_19_0_0_5640.mp4,video10,19,0,0,5640,5641,1,0,5,True
video10_19_0_1_21510.mp4,video10,19,0,1,21510,21512,2,0,5,True
video10_19_0_2_10320.mp4,video10,19,0,2,10320,10322,2,0,5,True
video10_19_0_3_21690.mp4,video10,19,0,3,21690,21692,2,0,5,True
video10_19_0_4_10620.mp4,video10,19,0,4,10620,10616,4,0,5,False
video10_19_0_5_8160.mp4,video10,19,0,5,8160,8162,2,0,5,True
video10_20_0_0_10530.mp4,video10,20,0,0,10530,10531,1,0,5,True
video10_20_0_1_24030.mp4,video10,20,0,1,24030,24032,2,0,5,True
video10_20_0_2_0.mp4,video10,20,0,2,0,1,1,0,5,True
video10_20_0_3_12750.mp4,video10,20,0,3,12750,12752,2,0,5,True
video10_20_0_4_4410.mp4,video10,20,0,4,4410,4412,2,0,5,True
video10_20_0_5_13200.mp4,video10,20,0,5,13200,13201,1,0,5,True
video11_10_0_0_3990.mp4,video11,10,0,0,3990,3990,0,0,5,True
video11_10_0_1_3450.mp4,video11,10,0,1,3450,3452,2,0,5,True
video11_10_0_2_3480.mp4,video11,10,0,2,3480,3482,2,0,5,True
video11_10_0_3_1950.mp4,video11,10,0,3,1950,1951,1,0,5,True
video11_10_0_4_4620.mp4,video11,10,0,4,4620,4622,2,0,5,True
video11_10_0_5_15300.mp4,video11,10,0,5,15300,15302,2,0,5,True
video11_11_0_0_2880.mp4,video11,11,0,0,2880,2881,1,0,5,True
video11_11_0_1_7320.mp4,video11,11,0,1,7320,7322,2,0,5,True
video11_11_0_2_13440.mp4,video11,11,0,2,13440,13440,0,0,5,True
video11_11_0_3_4800.mp4,video11,11,0,3,4800,4802,2,0,5,True
video11_11_0_4_15810.mp4,video11,11,0,4,15810,15812,2,0,5,True
video11_11_0_5_1620.mp4,video11,11,0,5,1620,1621,1,0,5,True
video11_12_0_0_12720.mp4,video11,12,0,0,12720,12722,2,0,5,True
video11_12_0_1_11340.mp4,video11,12,0,1,11340,11288,52,0,5,False
video11_12_0_2_4620.mp4,video11,12,0,2,4620,4622,2,0,5,True
video11_12_0_3_510.mp4,video11,12,0,3,510,512,2,0,5,True
video11_12_0_4_3840.mp4,video11,12,0,4,3840,3841,1,0,5,True
video11_12_0_5_6570.mp4,video11,12,0,5,6570,6571,1,0,5,True
video11_13_0_0_5010.mp4,video11,13,0,0,5010,5010,0,0,5,True
video11_13_0_1_16320.mp4,video11,13,0,1,16320,16321,1,0,5,True
video11_13_0_2_1290.mp4,video11,13,0,2,1290,1289,1,0,5,True
video11_13_0_3_2370.mp4,video11,13,0,3,2370,2372,2,0,5,True
video11_13_0_4_4140.mp4,video11,13,0,4,4140,4142,2,0,5,True
video11_13_0_5_9300.mp4,video11,13,0,5,9300,9300,0,0,5,True
video11_14_0_0_1020.mp4,video11,14,0,0,1020,1018,2,0,5,True
video11_14_0_1_2250.mp4,video11,14,0,1,2250,2252,2,0,5,True
video11_14_0_2_2400.mp4,video11,14,0,2,2400,2401,1,0,5,True
video11_14_0_3_16650.mp4,video11,14,0,3,16650,16652,2,0,5,True
video11_14_0_4_9930.mp4,video11,14,0,4,9930,9932,2,0,5,True
video11_14_0_5_2010.mp4,video11,14,0,5,2010,2013,3,0,5,True
video11_15_0_0_15060.mp4,video11,15,0,0,15060,15061,1,0,5,True
video11_15_0_1_9930.mp4,video11,15,0,1,9930,9932,2,0,5,True
video11_15_0_2_5760.mp4,video11,15,0,2,5760,5762,2,0,5,True
video11_15_0_3_11700.mp4,video11,15,0,3,11700,11702,2,0,5,True
video11_15_0_4_3420.mp4,video11,15,0,4,3420,3422,2,0,5,True
video11_15_0_5_12750.mp4,video11,15,0,5,12750,12750,0,0,5,True
video11_16_0_0_15360.mp4,video11,16,0,0,15360,15362,2,0,5,True
video11_16_0_1_5130.mp4,video11,16,0,1,5130,5131,1,0,5,True
video11_16_0_2_13350.mp4,video11,16,0,2,13350,13351,1,0,5,True
video11_16_0_3_12720.mp4,video11,16,0,3,12720,12722,2,0,5,True
video11_16_0_4_13230.mp4,video11,16,0,4,13230,13231,1,0,5,True
video11_16_0_5_1020.mp4,video11,16,0,5,1020,1018,2,0,5,True
video11_17_0_0_1200.mp4,video11,17,0,0,1200,1199,1,0,5,True
video11_17_0_1_5310.mp4,video11,17,0,1,5310,5312,2,0,5,True
video11_17_0_2_9330.mp4,video11,17,0,2,9330,9332,2,0,5,True
video11_17_0_3_10650.mp4,video11,17,0,3,10650,10652,2,0,5,True
video11_17_0_4_5220.mp4,video11,17,0,4,5220,5221,1,0,5,True
video11_17_0_5_6390.mp4,video11,17,0,5,6390,6392,2,0,5,True
video11_18_0_0_1320.mp4,video11,18,0,0,1320,1318,2,0,5,True
video11_18_0_1_2190.mp4,video11,18,0,1,2190,2192,2,0,5,True
video11_18_0_2_12240.mp4,video11,18,0,2,12240,12242,2,0,5,True
video11_18_0_3_12780.mp4,video11,18,0,3,12780,12781,1,0,5,True
video11_18_0_4_9570.mp4,video11,18,0,4,9570,9572,2,0,5,True
video11_18_0_5_180.mp4,video11,18,0,5,180,182,2,0,5,True
video11_19_0_0_12150.mp4,video11,19,0,0,12150,12150,0,0,5,True
video11_19_0_1_2430.mp4,video11,19,0,1,2430,2431,1,0,5,True
video11_19_0_2_5550.mp4,video11,19,0,2,5550,5550,0,0,5,True
video11_19_0_3_12510.mp4,video11,19,0,3,12510,12512,2,0,5,True
video11_19_0_4_10740.mp4,video11,19,0,4,10740,10742,2,0,5,True
video11_19_0_5_8790.mp4,video11,19,0,5,8790,8790,0,0,5,True
video11_20_0_0_6120.mp4,video11,20,0,0,6120,6121,1,0,5,True
video11_20_0_1_14070.mp4,video11,20,0,1,14070,14072,2,0,5,True
video11_20_0_2_14070.mp4,video11,20,0,2,14070,14072,2,0,5,True
video11_20_0_3_6810.mp4,video11,20,0,3,6810,6812,2,0,5,True
video11_20_0_4_7980.mp4,video11,20,0,4,7980,7982,2,0,5,True
video11_20_0_5_12720.mp4,video11,20,0,5,12720,12722,2,0,5,True
video1_10_0_0_3120.mp4,video1,10,0,0,3120,16602,13482,0,5,False
video1_10_0_1_22650.mp4,video1,10,0,1,22650,22651,1,0,5,True
video1_10_0_2_18750.mp4,video1,10,0,2,18750,18751,1,0,5,True
video1_10_0_3_13470.mp4,video1,10,0,3,13470,20698,7228,0,5,False
video1_10_0_4_24030.mp4,video1,10,0,4,24030,27330,3300,0,5,False
video1_10_0_5_10140.mp4,video1,10,0,5,10140,18329,8189,0,5,False
video1_11_0_0_7470.mp4,video1,11,0,0,7470,7471,1,0,5,True
video1_11_0_1_16200.mp4,video1,11,0,1,16200,16202,2,0,5,True
video1_11_0_2_4740.mp4,video1,11,0,2,4740,21426,16686,0,5,False
video1_11_0_3_25800.mp4,video1,11,0,3,25800,27211,1411,0,5,False
video1_11_0_4_18930.mp4,video1,11,0,4,18930,18929,1,0,5,True
video1_11_0_5_27360.mp4,video1,11,0,5,27360,27223,137,0,5,False
video1_12_0_0_90.mp4,video1,12,0,0,90,93,3,0,5,True
video1_12_0_1_17490.mp4,video1,12,0,1,17490,20540,3050,0,5,False
video1_12_0_2_19020.mp4,video1,12,0,2,19020,19020,0,0,5,True
video1_12_0_3_20130.mp4,video1,12,0,3,20130,20135,5,0,5,False
video1_12_0_4_19500.mp4,video1,12,0,4,19500,19503,3,0,5,True
video1_12_0_5_420.mp4,video1,12,0,5,420,12756,12336,0,5,False
video1_13_0_0_26010.mp4,video1,13,0,0,26010,26610,600,0,5,False
video1_13_0_1_6660.mp4,video1,13,0,1,6660,21852,15192,0,5,False
video1_13_0_2_8730.mp4,video1,13,0,2,8730,8731,1,0,5,True
video1_13_0_3_13440.mp4,video1,13,0,3,13440,20817,7377,0,5,False
video1_13_0_4_60.mp4,video1,13,0,4,60,13213,13153,0,5,False
video1_13_0_5_330.mp4,video1,13,0,5,330,12729,12399,0,5,False
video1_14_0_0_20130.mp4,video1,14,0,0,20130,20133,3,0,5,True
video1_14_0_1_17730.mp4,video1,14,0,1,17730,20768,3038,0,5,False
video1_14_0_2_17460.mp4,video1,14,0,2,17460,20786,3326,0,5,False
video1_14_0_3_10560.mp4,video1,14,0,3,10560,10563,3,0,5,True
video1_14_0_4_13050.mp4,video1,14,0,4,13050,16916,3866,0,5,False
video1_14_0_5_22170.mp4,video1,14,0,5,22170,22172,2,0,5,True
video1_15_0_0_1140.mp4,video1,15,0,0,1140,1141,1,0,5,True
video1_15_0_1_12870.mp4,video1,15,0,1,12870,20837,7967,0,5,False
video1_15_0_2_27060.mp4,video1,15,0,2,27060,27062,2,0,5,True
video1_15_0_3_11580.mp4,video1,15,0,3,11580,15660,4080,0,5,False
video1_15_0_4_16620.mp4,video1,15,0,4,16620,16228,392,0,5,False
video1_15_0_5_2190.mp4,video1,15,0,5,2190,20762,18572,0,5,False
video1_16_0_0_14190.mp4,video1,16,0,0,14190,14193,3,0,5,True
video1_16_0_1_24750.mp4,video1,16,0,1,24750,27102,2352,0,5,False
video1_16_0_2_4110.mp4,video1,16,0,2,4110,21759,17649,0,5,False
video1_16_0_3_10890.mp4,video1,16,0,3,10890,15707,4817,0,5,False
video1_16_0_4_17160.mp4,video1,16,0,4,17160,17162,2,0,5,True
video1_16_0_5_11190.mp4,video1,16,0,5,11190,15754,4564,0,5,False
video1_17_0_0_13620.mp4,video1,17,0,0,13620,13621,1,0,5,True
video1_17_0_1_16170.mp4,video1,17,0,1,16170,16172,2,0,5,True
video1_17_0_2_19020.mp4,video1,17,0,2,19020,19021,1,0,5,True
video1_17_0_3_14640.mp4,video1,17,0,3,14640,14641,1,0,5,True
video1_17_0_4_18360.mp4,video1,17,0,4,18360,18363,3,0,5,True
video1_17_0_5_22890.mp4,video1,17,0,5,22890,22890,0,0,5,True
video1_18_0_0_8340.mp4,video1,18,0,0,8340,8341,1,0,5,True
video1_18_0_1_25050.mp4,video1,18,0,1,25050,26947,1897,0,5,False
video1_18_0_2_5730.mp4,video1,18,0,2,5730,5732,2,0,5,True
video1_18_0_3_18000.mp4,video1,18,0,3,18000,20744,2744,0,5,False
video1_18_0_4_16230.mp4,video1,18,0,4,16230,16230,0,0,5,True
video1_18_0_5_17880.mp4,video1,18,0,5,17880,17882,2,0,5,True
video1_19_0_0_22650.mp4,video1,19,0,0,22650,22652,2,0,5,True
video1_19_0_1_24810.mp4,video1,19,0,1,24810,27009,2199,0,5,False
video1_19_0_2_10920.mp4,video1,19,0,2,10920,15549,4629,0,5,False
video1_19_0_3_20370.mp4,video1,19,0,3,20370,20371,1,0,5,True
video1_19_0_4_7380.mp4,video1,19,0,4,7380,7381,1,0,5,True
video1_19_0_5_20190.mp4,video1,19,0,5,20190,20190,0,0,5,True
video1_20_0_0_18060.mp4,video1,20,0,0,18060,18062,2,0,5,True
video1_20_0_1_15000.mp4,video1,20,0,1,15000,15001,1,0,5,True
video1_20_0_2_13680.mp4,video1,20,0,2,13680,13679,1,0,5,True
video1_20_0_3_14700.mp4,video1,20,0,3,14700,14701,1,0,5,True
video1_20_0_4_10110.mp4,video1,20,0,4,10110,10109,1,0,5,True
video1_20_0_5_23640.mp4,video1,20,0,5,23640,23644,4,0,5,False
video2_10_0_0_6330.mp4,video2,10,0,0,6330,6332,2,0,5,True
video2_10_0_1_6810.mp4,video2,10,0,1,6810,6812,2,0,5,True
video2_10_0_2_18570.mp4,video2,10,0,2,18570,18572,2,0,5,True
video2_10_0_3_23100.mp4,video2,10,0,3,23100,23102,2,0,5,True
video2_10_0_4_13740.mp4,video2,10,0,4,13740,13740,0,0,5,True
video2_10_0_5_990.mp4,video2,10,0,5,990,992,2,0,5,True
video2_11_0_0_5820.mp4,video2,11,0,0,5820,5822,2,0,5,True
video2_11_0_1_3750.mp4,video2,11,0,1,3750,3754,4,0,5,False
video2_11_0_2_17070.mp4,video2,11,0,2,17070,17073,3,0,5,True
video2_11_0_3_12870.mp4,video2,11,0,3,12870,12871,1,0,5,True
video2_11_0_4_14880.mp4,video2,11,0,4,14880,14881,1,0,5,True
video2_11_0_5_8250.mp4,video2,11,0,5,8250,8251,1,0,5,True
video2_12_0_0_11700.mp4,video2,12,0,0,11700,11702,2,0,5,True
video2_12_0_1_17850.mp4,video2,12,0,1,17850,17851,1,0,5,True
video2_12_0_2_10590.mp4,video2,12,0,2,10590,10591,1,0,5,True
video2_12_0_3_2310.mp4,video2,12,0,3,2310,2312,2,0,5,True
video2_12_0_4_20580.mp4,video2,12,0,4,20580,20581,1,0,5,True
video2_12_0_5_15240.mp4,video2,12,0,5,15240,15240,0,0,5,True
video2_13_0_0_9480.mp4,video2,13,0,0,9480,9482,2,0,5,True
video2_13_0_1_11790.mp4,video2,13,0,1,11790,11790,0,0,5,True
video2_13_0_2_5220.mp4,video2,13,0,2,5220,5221,1,0,5,True
video2_13_0_3_8130.mp4,video2,13,0,3,8130,8132,2,0,5,True
video2_13_0_4_17790.mp4,video2,13,0,4,17790,17793,3,0,5,True
video2_13_0_5_4860.mp4,video2,13,0,5,4860,4862,2,0,5,True
video2_14_0_0_6570.mp4,video2,14,0,0,6570,6571,1,0,5,True
video2_14_0_1_10740.mp4,video2,14,0,1,10740,10740,0,0,5,True
video2_14_0_2_9840.mp4,video2,14,0,2,9840,9843,3,0,5,True
video2_14_0_3_3240.mp4,video2,14,0,3,3240,3242,2,0,5,True
video2_14_0_4_1530.mp4,video2,14,0,4,1530,1531,1,0,5,True
video2_14_0_5_21180.mp4,video2,14,0,5,21180,21182,2,0,5,True
video2_15_0_0_6930.mp4,video2,15,0,0,6930,6931,1,0,5,True
video2_15_0_1_17640.mp4,video2,15,0,1,17640,17642,2,0,5,True
video2_15_0_2_13530.mp4,video2,15,0,2,13530,13532,2,0,5,True
video2_15_0_3_8340.mp4,video2,15,0,3,8340,8341,1,0,5,True
video2_15_0_4_11670.mp4,video2,15,0,4,11670,11672,2,0,5,True
